trial_id,src_id,ra_deg,dec_deg,field,ccdid,qid,filtercode,exptime_s,delta_pre_s,delta_post_s,timing_distance_s,a_obsdate,a_filefracday,a_pid,a_imgtypecode,a_infobits,b_obsdate,b_filefracday,b_pid,b_imgtypecode,b_infobits,c_obsdate,c_filefracday,c_pid,c_imgtypecode,c_infobits
TS-T2B-ZTF-01,tile_RA116.031_DECp27.717:2085,116.351904399,28.0230488558,1660,6,3,zr,30.0,388.271,436.164,159.5928,2025-08-29 12:19:26.629+00,20250829513449,3162513492215,o,4194304,2025-08-29 12:25:54.9+00,20250829517951,3162517982215,o,4194304,2025-08-29 12:33:11.064+00,20250829522998,3162523042215,o,104857601
TS-T2B-ZTF-02,tile_RA122.762_DECp56.240:1336,122.5613960796,56.5930412653,784,11,2,zr,30.0,427.381,427.963,199.09479999999996,2020-06-12 04:15:52.773+00,20200612177685,1258177684115,o,0,2020-06-12 04:23:00.154+00,20200612182627,1258182634115,o,0,2020-06-12 04:30:08.117+00,20200612187581,1258187594115,o,0
TS-T2B-ZTF-03,tile_RA124.680_DECp26.727:572,124.2947133574,26.5417971327,616,9,4,zr,30.0,212.575,427.448,24.819200000000023,2019-01-31 05:25:09.659+00,20190131225799,760225793515,o,0,2019-01-31 05:28:42.234+00,20190131228252,760228263515,o,0,2019-01-31 05:35:49.682+00,20190131233206,760233203515,o,0
TS-T2B-ZTF-04,tile_RA126.855_DECp32.329:280,127.1809796685,31.9598951361,664,6,4,zr,30.0,246.206,454.627,35.99080000000001,2024-09-02 12:03:45.616+00,20240902502604,2801502602315,o,0,2024-09-02 12:07:51.822+00,20240902505451,2801505452315,o,0,2024-09-02 12:15:26.449+00,20240902510718,2801510712315,o,0
TS-T2B-ZTF-05,tile_RA151.490_DECp21.438:507,151.9250064882,21.3067667635,571,15,4,zr,30.0,339.094,430.037,108.73380000000003,2024-09-29 12:20:34.072+00,20240929514259,2828514275915,o,0,2024-09-29 12:26:13.166+00,20240929518183,2828518205915,o,0,2024-09-29 12:33:23.203+00,20240929523160,2828523185915,o,0
TS-T2B-ZTF-06,tile_RA153.826_DECp47.315:892,153.3822563794,47.6839531258,1789,3,3,zr,30.0,295.454,295.728,199.4028,2024-07-08 04:17:04.68+00,20240708178519,2745178511015,o,0,2024-07-08 04:22:00.134+00,20240708181933,2745181941015,o,0,2024-07-08 04:26:55.862+00,20240708185359,2745185351015,o,0
TS-T2B-ZTF-07,tile_RA154.709_DECp32.044:868,155.1609400149,32.4147829295,668,7,2,zr,30.0,204.792,409.241,50.809200000000004,2023-07-16 04:09:40.773+00,20230716173380,2387173372515,o,167772209,2023-07-16 04:13:05.565+00,20230716175741,2387175752515,o,167774208,2023-07-16 04:19:54.806+00,20230716180486,2387180482515,o,167774240
TS-T2B-ZTF-08,tile_RA160.223_DECp32.041:1277,160.7148188756,32.0104628495,668,5,4,zr,30.0,214.021,428.257,22.5642,2023-10-08 12:18:15.627+00,20231008512593,2471512671915,o,67108864,2023-10-08 12:21:49.648+00,20231008515069,2471515151915,o,67108864,2023-10-08 12:28:57.905+00,20231008520023,2471520101915,o,67108864
TS-T2B-ZTF-09,tile_RA171.876_DECp42.079:866,171.8181255999,42.4861776347,714,16,4,zr,30.0,416.927,417.624,198.9798,2020-07-22 04:12:32.302+00,20200722175046,1298175376315,o,0,2020-07-22 04:19:29.229+00,20200722180150,1298180196315,o,0,2020-07-22 04:26:26.853+00,20200722184977,1298185026315,o,0
TS-T2B-ZTF-10,tile_RA174.051_DECp31.978:659,174.5943372144,32.0468457018,670,6,4,zr,30.0,204.623,409.843,50.37619999999998,2022-08-03 03:48:16.186+00,20220803158507,2040158512315,o,0,2022-08-03 03:51:40.809+00,20220803160880,2040160872315,o,0,2022-08-03 03:58:30.652+00,20220803165625,2040165622315,o,0
TS-T2B-ZTF-11,tile_RA174.215_DECp31.956:1051,174.6079267532,32.0244337454,670,6,4,zr,30.0,204.623,409.843,50.37619999999998,2022-08-03 03:48:16.186+00,20220803158507,2040158512315,o,0,2022-08-03 03:51:40.809+00,20220803160880,2040160872315,o,0,2022-08-03 03:58:30.652+00,20220803165625,2040165622315,o,0
TS-T2B-ZTF-12,tile_RA174.852_DECp16.211:179,174.4641980202,15.8217663931,574,2,4,zr,30.0,219.383,439.344,20.28419999999997,2022-10-27 12:36:05.309+00,20221027525046,2125525050715,o,0,2022-10-27 12:39:44.692+00,20221027527593,2125527590715,o,0,2022-10-27 12:47:04.036+00,20221027532674,2125532670715,o,0
TS-T2B-ZTF-13,tile_RA174.852_DECp16.211:60,174.5208891118,15.74120693,574,2,4,zr,30.0,219.383,439.344,20.28419999999997,2022-10-27 12:36:05.309+00,20221027525046,2125525050715,o,0,2022-10-27 12:39:44.692+00,20221027527593,2125527590715,o,0,2022-10-27 12:47:04.036+00,20221027532674,2125532670715,o,0
TS-T2B-ZTF-14,tile_RA178.400_DECp25.947:195,178.8303463322,25.5577618862,624,8,1,zr,30.0,209.506,418.582,36.7542,2021-08-14 03:37:28.827+00,20210814151019,1686151012815,o,33554432,2021-08-14 03:40:58.333+00,20210814153438,1686153442815,o,33554432,2021-08-14 03:47:56.915+00,20210814158287,1686158282815,o,0
TS-T2B-ZTF-15,tile_RA183.780_DECp32.335:31,183.3564914102,31.9856960989,671,5,3,zr,30.0,209.214,419.364,36.26420000000002,2021-08-15 03:33:26.543+00,20210815148218,1687148211815,o,33554432,2021-08-15 03:36:55.757+00,20210815150637,1687150631815,o,33554432,2021-08-15 03:43:55.121+00,20210815155486,1687155491815,o,0
TS-T2B-ZTF-16,tile_RA188.616_DECp45.284:633,189.1909367128,45.1588298111,755,1,2,zr,30.0,79.0,431.0,154.8422,2018-04-13 06:24:52+00,20180413267268,467267260115,o,0,2018-04-13 06:26:11+00,20180413268183,467268180115,o,8,2018-04-13 06:33:22+00,20180413273113,467273170115,o,8
TS-T2B-ZTF-17,tile_RA193.420_DECp31.903:1206,193.7270580897,31.9832508727,673,8,4,zr,30.0,80.754,422.876,161.2122,2018-05-19 06:27:03.012+00,20180519268762,503268783115,o,0,2018-05-19 06:28:23.766+00,20180519269699,503269713115,o,0,2018-05-19 06:35:26.642+00,20180519274595,503274603115,o,0
