src_id,ra_deg,dec_deg,sector,sectorName,camera,ccd,ffi_cadence_s,selection_rule
tile_RA116.031_DECp27.717:2085,116.351904399,28.0230488558,71,tess-s0071-4-1,4,1,200,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA122.762_DECp56.240:1336,122.5613960796,56.5930412653,60,tess-s0060-2-4,2,4,200,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA122.762_DECp56.240:1372,122.4708390856,56.5872995862,60,tess-s0060-2-4,2,4,200,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA124.680_DECp26.727:572,124.2947133574,26.5417971327,71,tess-s0071-4-4,4,4,200,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA126.855_DECp32.329:280,127.1809796685,31.9598951361,44,tess-s0044-4-1,4,1,600,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA151.490_DECp21.438:507,151.9250064882,21.3067667635,72,tess-s0072-3-4,3,4,200,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA153.826_DECp47.315:892,153.3822563794,47.6839531258,48,tess-s0048-2-3,2,3,600,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA154.709_DECp32.044:868,155.1609400149,32.4147829295,48,tess-s0048-1-1,1,1,600,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA160.223_DECp32.041:1277,160.7148188756,32.0104628495,48,tess-s0048-1-1,1,1,600,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA171.876_DECp42.079:866,171.8181255999,42.4861776347,75,tess-s0075-1-4,1,4,200,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA174.051_DECp31.978:659,174.5943372144,32.0468457018,49,tess-s0049-1-2,1,2,600,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
tile_RA174.215_DECp31.956:1051,174.6079267532,32.0244337454,49,tess-s0049-1-2,1,2,600,SHORTEST_AVAILABLE_CADENCE_THEN_EARLIEST_SECTOR
